Name,Date Issued,Column2,Document Number,Ship To,Requested Ship By,Status,Line ID,Name_1,Quantity Remaining,CBM,Cargo Ready,ETD,ETA,CBM per case,CBM total,Container ,Column1
Ditar S.A,46058,,PO155049,"Simi Valley, CA",46104,,1,CFLF-WT10712,100,,46104,120,#VALUE!,0.0517,5.17,,core
Ditar S.A,46058,,PO155049,"Simi Valley, CA",46104,,2,CFLF-WT121012,100,,46104,120,#VALUE!,0.0603,6.03,,core
Ditar S.A,46056,,PO155026,"Simi Valley, CA",46139,,1,DELB-NK141015,100,,46102,120,#VALUE!,0.034,3.4,,core
Ditar S.A,46062,,PO155087,"Simi Valley, CA",46118,,1,RPLQ-NK10712,100,,45909,120,#VALUE!,0.0728,7.28,,core
Ditar S.A,46062,,PO155087,"Simi Valley, CA",46118,,2,RPLQ-NK13713,100,,45909,120,#VALUE!,0.0728,7.28,,core
Ditar S.A,46062,,PO155087,"Simi Valley, CA",46118,,3,RPLQ-NK8510,100,,45909,120,#VALUE!,0.0517,5.17,,core
Ditar S.A,46062,,PO155087,"Simi Valley, CA",46118,,4,RPLQ-NK141015,100,,45909,120,#VALUE!,0.0682,6.82,,core
Ditar S.A,46080,,PO155173,"Simi Valley, CA",46125,,1,LEVI-NK16616,285,,46127,120,120,0.0819,23.3415,,configA
Ditar S.A,46080,,PO155173,"Simi Valley, CA",46125,,2,LEVI-NK13613,150,,46127,120,120,0.0682,10.23,,configA
Ditar S.A,46080,,PO155176,"Simi Valley, CA",46125,,1,LEVI-NK16616,225,,46128,120,#VALUE!,0.0819,18.4275,,configB
Ditar S.A,46080,,PO155176,"Simi Valley, CA",46125,,2,LEVI-NK13613,195,,46128,120,#VALUE!,0.0682,13.299,,configB
